Kanji Frequency Count,Unique Word Count,Kanji,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6
98773,10,犯,犯人,犯罪,犯す,犯行,犯,共犯
98598,10,頃,頃,近頃,日頃,今頃,年頃,頃合
98597,35,渡,渡す,渡る,見渡す,手渡す,渡辺,渡来
98559,24,都,都,都市,京都,都合,都会,沙都子
98346,22,将,将軍,将来,大将,将,将校,中将
98053,15,識,意識,知識,認識,常識,無意識,鑑識
98011,29,質,質問,性質,物質,質,本質,人質
97590,18,抱,抱く,抱える,抱きしめる,辛抱,抱きつく,抱き合う
97453,14,緒,一緒,緒,内緒,緒方,美緒,奈緒
97161,6,瞬,瞬間,一瞬,瞬く,瞬時,瞬き,瞬
96972,29,念,念,残念,観念,記念,概念,信念
96869,38,民,民,国民,市民,民族,住民,民衆
96694,27,降,降りる,降る,降ろす,以降,降下,飛び降りる
96395,37,治,政治,明治,治療,治,治る,大治
96389,38,片,片手,片,片づける,片方,片隅,破片
96152,15,耳,耳,耳元,耳打ち,聞き耳,初耳,耳たぶ
96001,31,満,満足,満ちる,不満,満,満たす,満州
95805,18,我,我々,我,我慢,怪我,我が,我ら
95024,16,影,影,影響,人影,撮影,面影,幻影
94689,28,器,器,武器,受話器,兵器,器用,食器
94447,31,論,論,結論,議論,勿論,理論,論理
94298,25,幸,幸福,不幸,幸せ,幸い,幸,幸運
93542,27,介,介,紹介,厄介,恭介,京介,竜介
92446,30,格,性格,格好,資格,人格,本格,格
91878,39,務,事務所,事務,義務,任務,勤務,刑務所
91831,30,市,市,都市,市民,市場,市内,市川
91555,5,歳,歳,歳月,歳三,万歳,千歳,
91162,15,夢,夢,夢中,悪夢,夢にも,夢想,夢見る
91035,61,松,松,松岡,松本,松尾,松平,松明
90466,7,叫,叫ぶ,叫び,叫び声,絶叫,泣き叫ぶ,雄叫び
90116,44,根,屋根,根,根拠,根本,羽根,根性
89858,19,際,実際,際,国際,交際,窓際,壁際
89830,43,北,北,北海道,北条,敗北,東北,北野
89503,39,交,交渉,交わす,交換,交通,外交,交際
89403,16,黙,黙る,沈黙,黙々と,黙り込む,押し黙る,黙りこくる
88949,37,素,素直,素早い,素,素晴らしい,素人,要素
88858,25,冷,冷たい,冷静,冷える,冷蔵庫,冷酷,冷める
88621,24,倒,倒れる,面倒,倒す,圧倒的,圧倒,転倒
88586,41,保,保つ,保護,保証,保,保険,大久保
88293,18,酒,酒,酒場,酒井,居酒屋,酒屋,ぶどう酒
87740,34,志,意志,志貴,志,同志,志摩子,志津
87217,21,予,予想,予定,予感,予言,予測,予備
87204,19,改,改,改めて,改行,改造,改める,改革
86973,13,肩,肩,肩越し,右肩,左肩,肩書き,肩ごし
86935,17,約,約束,約,契約,婚約,条約,予約
86935,13,怒,怒る,怒り,怒鳴る,激怒,憤怒,怒鳴りつける
86880,49,宮,宮,宮殿,宮廷,王宮,宮本,大宮
86164,10,傍,傍点,傍,傍ら,傍線,傍観,路傍
86026,10,妙,妙,奇妙,微妙,巧妙,神妙,妙子
85969,27,精,精神,精霊,妖精,精,精一杯,精力
85843,41,江,江戸,江,入江,近江,江原,大江
85803,18,買,買う,買い物,買える,買物,買い,買収
85793,16,院,病院,院,入院,院長,寺院,修道院
85750,8,驚,驚く,驚き,驚愕,驚かす,驚嘆,驚異
85704,18,髪,髪,髪の毛,金髪,白髪,黒髪,前髪
85668,13,婚,結婚,離婚,婚約,結婚式,新婚,再婚
85612,29,腹,腹,お腹,空腹,腹立たしい,脇腹,切腹
85548,36,売,売る,商売,売れる,販売,発売,売春
85525,28,団,団,集団,布団,師団,団体,一団
85454,33,異,異常,異様,異なる,異,異国,異変
85220,32,草,草,煙草,浅草,仕草,草薙,草原
84735,20,痛,痛い,痛み,苦痛,痛む,頭痛,痛める
84735,14,単,簡単,単純,単に,単なる,単位,単語
84655,26,熱,熱い,熱,熱心,情熱,熱中,熱気
84653,17,嫌,嫌,嫌い,機嫌,嫌う,嫌悪,不機嫌
84381,9,窓,窓,窓際,窓辺,窓口,窓ぎわ,車窓
84050,15,認,認める,確認,認識,承認,認知,認定
83998,21,肉,肉,肉体,皮肉,筋肉,肉親,牛肉
83525,32,茶,お茶,茶,喫茶店,茶碗,茶色,紅茶
83442,15,妻,妻,夫妻,稲妻,妻子,人妻,妻女
83358,11,囲,周囲,雰囲気,囲む,範囲,包囲,取り囲む
83270,3,云,云う,云,云々,,,
83134,24,隠,隠す,隠れる,隠居,隠し,隠れ,隠る
83104,17,似,似る,真似,似合う,真似る,類似,似合い
82732,19,証,証拠,証明,証言,保証,証人,証
82321,20,料,料理,資料,材料,料,給料,食料
81923,12,腰,腰,腰かける,腰掛ける,物腰,中腰,腰掛け
81868,17,悲,悲鳴,悲しい,悲しみ,悲劇,悲しむ,悲惨
81462,17,構,結構,構える,構う,構造,構成,構え
81437,18,壁,壁,城壁,壁際,壁面,外壁,白壁
